Height,Weight,BodyFat,ExerciseWeight
197.6,86.6,10.3,112.5
184,80,23.7,77.5
189.8,96.4,27,107.5
202.4,88.6,15.9,115
198.7,50,15.9,45
170.2,82.4,19.5,72.5
189.5,96.2,26.2,107.5
178.5,92,21.8,95
179,62.7,14.2,52.5
184.1,76.9,17.5,77.5
181.4,75.2,20.6,70
194.5,78.8,12.3,95
187.6,90.7,17.1,105
181.2,95.3,16,107.5
184.4,62.9,19,52.5
183.3,50,18.3,30
194.9,93.1,21.9,110
177.9,98.6,13.9,112.5
183.1,88.1,22.9,92.5
171.5,84.1,21.2,75
154.5,63.5,24.6,22.5
186.5,54.5,10,47.5
188.6,75.5,22.1,75
172.6,59.7,23.1,35
202.7,66.9,22,72.5
165.5,85.9,23.7,72.5
180.5,92.4,19.5,100
178.1,95.6,22.7,100
195.3,89.1,15.7,110
194.7,53.9,22.1,42.5
181.5,68.7,28.9,52.5
183.8,66.1,20.2,57.5
171.1,100.8,20,105
160.2,111.2,14.5,117.5
176.5,50.8,19.6,25
181.6,50,20.3,27.5
192.3,90.5,25,102.5
192,113.2,10,150
176.1,72.7,20.1,62.5
177,79.4,13.6,80
169.5,72.7,22.8,52.5
165.8,104.8,22.9,105
162.9,50,23.3,20
199.5,92.3,27.4,107.5
174.9,80.9,20.1,75
175.6,82.3,23.9,75
167.5,68.4,22.6,45
187.8,54.7,23.6,37.5
163.9,77.7,24.6,55
177.9,70.3,22.2,57.5
171,100.5,20.6,105
183.9,83,10,95
174.9,79.4,21.1,70
168.2,97.5,23.3,95
179.7,82.7,20.6,80
184.3,81.7,16.7,87.5
180.7,97.9,23.9,105
183,77.2,24.2,72.5
173.7,75,10,72.5
176.4,91,20.4,92.5
173.3,113.1,15.6,132.5
176.4,53.5,17,32.5
171.9,77.3,22.9,62.5
162.7,50,25.7,20
181.8,92.1,17.5,102.5
176,89.7,16.8,92.5
163.7,120.9,17.1,135
184.6,66.2,20.2,57.5
170.9,87.6,22.4,80
180.5,87.8,15.1,95
187.3,104.2,20.6,125
181.3,82.3,15.8,85
191.4,59.2,17.8,52.5
167.7,110.1,26.3,112.5
184,70.5,11.9,72.5
173.2,105.8,21.6,115
171.3,105.9,23.9,110
174.2,102.3,21.2,110
176.9,83.5,17.4,82.5
180.6,74.2,12.4,75
168.3,109.1,12,122.5
189,97,22.9,112.5
184.7,72.3,22.9,65
164.6,67.6,22.3,40
194.9,124.2,19.5,150
199,101.6,11.8,137.5
191.8,102.5,25.2,120
178.2,82.9,21.6,80
169.3,59.1,28.3,25
190.5,86.2,13,102.5
176,99.1,12,112.5
192.2,77.3,15,87.5
182.1,83.2,10,92.5
189.8,98.9,30,110
183.6,103.2,12.6,125
187.1,82.2,25.2,82.5
180.1,54.9,16.6,37.5
197.9,80.1,22.7,90
181.3,50,18.9,27.5
184,116.2,22.5,140
198.8,104.9,19.5,135
166.5,56.6,19.8,27.5
167.3,63.6,28.5,32.5
189.7,59.2,17.1,52.5
168.3,72.4,21.4,52.5
199.4,84.9,22.4,100
175.9,82,16.5,80
172.5,72.6,22.4,57.5
199.2,108.6,22.1,140
194.8,54.7,14.5,52.5
198.7,65.4,14.3,72.5
189.1,75.3,20.5,77.5
171.4,78.7,14.9,72.5
199.1,111.7,19.6,147.5
177.3,91.4,24.1,90
188,59.8,21.4,47.5
189.5,56.8,13.8,52.5
178.4,112.8,15.7,135
186.1,80,24.6,77.5
189.2,93.2,18.1,110
183.8,69.9,20.2,62.5
169,115.2,15.7,132.5
183,74,19.4,70
193.3,78.6,22.5,85
173.1,75.2,20.3,62.5
178.5,81,18.7,80
175.6,78.9,10.5,80
198.5,52,19.9,45
186.7,71.9,17.3,72.5
184.1,100.9,19.8,117.5
172.3,50,27.6,20
185.4,82,19.5,85
173.3,56.6,23.7,27.5
180.3,119.9,12.4,150
173.6,65.2,14.9,50
186.8,50,23.1,30
185.8,72.7,22.3,67.5
177.9,113.6,15.5,137.5
184,72.7,22.1,67.5
169.1,84.6,19,77.5
165.1,67.3,20.1,42.5
184.4,58.8,26.4,40
181.7,72.7,23.2,62.5
186.4,53.3,21.7,35
203.8,106.1,17.2,145
189.4,81.1,18.7,87.5
170.9,56.9,15.1,35
191.2,76.2,17.4,82.5
166.8,50,21.5,20
175.4,74.4,20.4,62.5
179.3,87.2,27.3,82.5
197.1,65.6,13.5,72.5
172.6,90.4,16.5,92.5
171.7,92.4,21.7,90
179,81.2,18.6,80
173.4,106.8,17.2,120
191.3,115.2,20.1,147.5
169.2,71.4,25.5,50
168.5,94.2,20.6,90
175.6,75.4,24.9,62.5
175,56.1,29.4,25
199.3,110.9,24.3,142.5
189.5,84.8,15.4,97.5
180.9,95.3,22,102.5
167.7,50,20,20
188.4,92.8,10,115
170,51.4,14.6,25
164.6,69.9,11.6,55
191.9,76.4,22.8,80
183.2,60.6,19.9,47.5
189.2,98.6,20.2,117.5
183.2,104.5,19.7,122.5
188.6,62.9,25.4,50
173.5,87.8,22.5,82.5
169.7,54,22.6,22.5
186.8,65.3,22.5,55
172,83.9,17.7,80
173.1,105.7,26.3,110
175.4,75.8,22,65
180.2,76.9,30,62.5
176.5,76,30,60
166.3,93.1,14.4,92.5
173.6,83.4,17.4,80
157.8,88.3,15.1,77.5
186.3,74.1,17.4,75
164,71.8,18.9,50
169,63.6,19.4,40
180.5,70.5,20.4,62.5
172.6,98.1,20.2,102.5
195.4,104.3,18.3,132.5
167.1,97.3,25.9,90
182.7,57.4,18.5,42.5
179.6,101.4,24.1,110
168.3,77.1,20.8,62.5
185.2,62.6,15.2,57.5
178.3,50,21.5,22.5
187.7,81.5,11.6,92.5
188.2,88.6,19.1,100
201.6,82.7,13.7,105
193.4,50,23.9,35
176.3,61.9,19.6,45
177.6,72.7,21.9,62.5
191,51.2,16.1,40
186.6,62,19.4,52.5
186.4,88.4,23.9,95
163.8,67.5,26.9,37.5
179.8,100.3,14.9,115
172.6,79.1,16.4,72.5
182.8,55.7,19,40
179,62.4,20.3,47.5
189.1,98.1,20.9,115
183.2,50,17.1,32.5
187.9,123.2,10.6,150
175.3,70.8,15.7,62.5
170.6,60.1,16.8,37.5
175.9,117.3,14.1,142.5
179.8,71.7,15.4,67.5
183.8,99.5,24.6,110
202.6,69.6,23.9,75
179.6,116.6,27,132.5
170.4,75.7,24,57.5
176.5,73.5,22.2,62.5
175.4,65.7,15.6,52.5
184.8,50,26.4,25
164.6,69.9,15.4,50
180.6,93.4,11.3,107.5
181.6,104.5,13.3,125
182.3,59.5,14.7,50
174,85.8,20.2,82.5
177.6,68.2,21.7,55
165.8,95,12.1,97.5
175.1,113.4,22.5,127.5
174.6,96.8,22.5,100
184.2,114.4,21.3,137.5
168.4,50,21.2,20
187.8,50,24.1,30
194.9,113.6,24.3,142.5
159.3,92.6,26.8,75
184.3,55.4,12.1,45
186.8,84.1,22.2,87.5
173.6,114.9,25.4,127.5
176,84.7,10,90
178.7,95.2,20.2,102.5
177,73.2,25.9,57.5
176.9,75.8,12.9,72.5
163.2,80.1,19.9,62.5
191.5,108.5,18.7,137.5
190.8,80.3,20,87.5
171.9,71.2,17.1,57.5
165.3,85.4,28.8,67.5
185.2,58.5,25.6,40
174.2,53.1,19.5,27.5
181.4,76.6,18.8,75
176.8,55.1,13.7,37.5
186.9,62.1,17.2,55
186.9,79.5,17.8,85
172.7,107,18.4,117.5
166.2,74.4,27.4,50
164.2,100.5,23.7,95
186.1,82.4,18.7,87.5
168.1,72.4,22.4,52.5
174.9,75.7,21.5,65
174,88.2,15.5,90
179.5,86.3,12.9,92.5
160.6,87.4,20.2,72.5
181.9,50,16.4,30
185.2,79.5,18.7,82.5
180.9,100.4,18.4,115
176.9,92.2,20.2,95
181,62.5,21.2,47.5
